Opening file: data/1k_128k.gr
This is an undirected graph
Read from file: num_nodes = 1024, num_edges = 262144
Kernel 1 Time: 0.321759 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.327999 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.315839 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.315999 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.317599 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.317119 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.324959 ms
Kernel 2 TIme: 0.020320 ms
Kernel 1 Time: 0.320638 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.320638 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.319518 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.322398 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.323358 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.311998 ms
Kernel 2 TIme: 0.020640 ms
Kernel 1 Time: 0.312318 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.315198 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.316798 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.315518 ms
Kernel 2 TIme: 0.020160 ms
Kernel 1 Time: 0.317438 ms
Kernel 2 TIme: 0.019200 ms
Kernel 1 Time: 0.322238 ms
Kernel 2 TIme: 0.019360 ms
Kernel 1 Time: 0.320318 ms
Kernel 2 TIme: 0.020320 ms
Kernel 1 Time: 0.319678 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.311039 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.317599 ms
Kernel 2 TIme: 0.021760 ms
Kernel 1 Time: 0.311039 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.315519 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.318079 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.319199 ms
Kernel 2 TIme: 0.019680 ms
Kernel 1 Time: 0.310719 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.310559 ms
Kernel 2 TIme: 0.019520 ms
Kernel 1 Time: 0.311199 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.311359 ms
Kernel 2 TIme: 0.032959 ms
Kernel 1 Time: 0.311199 ms
Kernel 2 TIme: 0.019679 ms
Kernel 1 Time: 0.311199 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.310239 ms
Kernel 2 TIme: 0.020000 ms
Kernel 1 Time: 0.313439 ms
Kernel 2 TIme: 0.019840 ms
Kernel 1 Time: 0.306079 ms
Kernel 2 TIme: 0.019519 ms
Kernel 1 Time: 0.303679 ms
Kernel 2 TIme: 0.019839 ms
Kernel 1 Time: 0.308479 ms
Kernel 2 TIme: 0.019999 ms
